pose_id,pose,pose_id.1,x_nose,y_nose,z_nose,x_left_eye_inner,y_left_eye_inner,z_left_eye_inner,x_left_eye,y_left_eye,z_left_eye,x_left_eye_outer,y_left_eye_outer,z_left_eye_outer,x_right_eye_inner,y_right_eye_inner,z_right_eye_inner,x_right_eye,y_right_eye,z_right_eye,x_right_eye_outer,y_right_eye_outer,z_right_eye_outer,x_left_ear,y_left_ear,z_left_ear,x_right_ear,y_right_ear,z_right_ear,x_mouth_left,y_mouth_left,z_mouth_left,x_mouth_right,y_mouth_right,z_mouth_right,x_left_shoulder,y_left_shoulder,z_left_shoulder,x_right_shoulder,y_right_shoulder,z_right_shoulder,x_left_elbow,y_left_elbow,z_left_elbow,x_right_elbow,y_right_elbow,z_right_elbow,x_left_wrist,y_left_wrist,z_left_wrist,x_right_wrist,y_right_wrist,z_right_wrist,x_left_pinky_1,y_left_pinky_1,z_left_pinky_1,x_right_pinky_1,y_right_pinky_1,z_right_pinky_1,x_left_index_1,y_left_index_1,z_left_index_1,x_right_index_1,y_right_index_1,z_right_index_1,x_left_thumb_2,y_left_thumb_2,z_left_thumb_2,x_right_thumb_2,y_right_thumb_2,z_right_thumb_2,x_left_hip,y_left_hip,z_left_hip,x_right_hip,y_right_hip,z_right_hip,x_left_knee,y_left_knee,z_left_knee,x_right_knee,y_right_knee,z_right_knee,x_left_ankle,y_left_ankle,z_left_ankle,x_right_ankle,y_right_ankle,z_right_ankle,x_left_heel,y_left_heel,z_left_heel,x_right_heel,y_right_heel,z_right_heel,x_left_foot_index,y_left_foot_index,z_left_foot_index,x_right_foot_index,y_right_foot_index,z_right_foot_index,pose_id.2,right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder
0,jumping_jacks_down,0,-0.12645017256683072,-1.2375016024811851,-0.9665928160736676,-0.09996809834183376,-1.3490477843422266,-0.9569756364952509,-0.07090875173230121,-1.3609422451945214,-0.9568906136430215,-0.04363660480000485,-1.3713620533802333,-0.9567683825577332,-0.15814108809903088,-1.3214482285764704,-0.9279984528783726,-0.17379525518282354,-1.3135889608791467,-0.9279422862668999,-0.1888299255830811,-1.3062007970766758,-0.927985033867604,0.006877850631673688,-1.3538755579492296,-0.7648997166185165,-0.19060094515389303,-1.261511111252392,-0.6324189976714789,-0.06681726958447903,-1.1630623777210216,-0.8854990931381869,-0.13982557691795655,-1.141638723060117,-0.8449263168768503,0.16362823968957313,-0.8890529624797042,-0.5254279365890415,-0.2016678073036545,-0.8281591877751252,-0.4991380333334584,0.2070757330546194,-0.4178472763790613,-0.23762534561814405,-0.2540759792994871,-0.35190245719870833,-0.300125536939844,0.22030264800018506,-0.10466985992307441,-0.27623463075341365,-0.2466764791167189,0.02337408103808731,-0.4275712927536127,0.2238012310173362,0.06125544388281212,-0.3219109681310679,-0.24999067419070192,0.1596263900925595,-0.4928273838900736,0.20630153127973616,0.05726669124030855,-0.38336170692900073,-0.22145677954315526,0.14904276262338534,-0.5549307589605356,0.1923074353857213,0.004127398505876422,-0.2994095414660703,-0.2120648139062687,0.10693676239726362,-0.4586120625816824,0.09727552552269161,-0.016529702786874618,0.009323673177875094,-0.09727558349281815,0.016529702786874618,-0.009323673177875094,0.1177014992768949,0.490579216501959,0.12483439484779763,-0.08210107197106058,0.4595755690252793,0.1616400575836921,0.11250845160860583,0.7297129233417362,1.1281204545527452,-0.02918442896622893,0.7342780493347693,1.0026519524024877,0.0776176580919201,0.5936818776720241,1.2206482267134486,-0.018078635367721665,0.7522602966996053,1.0856520766246218,0.1254342568347763,0.9870169798716985,1.0791829110908309,0.0019919943072826585,0.9842500872033157,0.8894720435536094,0,14.021934,8.209491,23.214672,129.22334,116.20365,138.05977,141.57338
1,jumping_jacks_down,1,-0.0510727085569064,-0.7553296582222027,-1.5470918702994925,-0.03573350344038995,-0.8045368589607127,-1.4912971299943265,-0.026586649124829862,-0.806484233061326,-1.4913534773467387,-0.017941179431799518,-0.807364547928083,-1.4916670782665529,-0.06588882901939229,-0.8004330434796104,-1.4862863441683614,-0.07491963179211557,-0.7992561699167722,-1.4866162192116836,-0.08365985144847342,-0.7977593946119652,-1.4868412485743514,0.001906702473628086,-0.7954267102346345,-1.1382377614952117,-0.08860725700434535,-0.7822456303183183,-1.1208218089969753,-0.02886584852324168,-0.7124027089542552,-1.4142741997560095,-0.06582514510967896,-0.7034647586972733,-1.4091204872804435,0.11547235926277541,-0.47468238632268817,-0.9190315106485685,-0.1569731504403127,-0.4845455133001684,-0.8354369309169914,0.16474514855952443,-0.11101503765487919,-1.004876480019353,-0.22504233636078025,-0.13148523268203677,-0.8662485033255201,0.18294095081545678,0.22809110617560135,-1.2683145143935695,-0.2716488457514136,0.23819842901666577,-1.133790461194933,0.19860473468421558,0.336817949258345,-1.3719616586583243,-0.2946706097167732,0.332216164800399,-1.2234509204250206,0.1865735008040855,0.3372348836614962,-1.4248717625654077,-0.2862699695700124,0.3359733150473327,-1.3010660079302196,0.17026961941302196,0.36636339245762684,-1.2952454884471962,-0.27484553486729507,0.29862582180755276,-1.1707704784850848,0.07301506727745632,0.0009848341048157166,-0.02019988375593784,-0.07301496526414525,-0.0009848341048157166,0.02019988375593784,0.04193115293273925,0.25275146795129577,-1.1981164546897352,-0.08504581509416309,0.2553846355367927,-1.1069532793796661,0.05277186266885256,0.6301043703610413,-0.24284837575900572,-0.03750938236367477,0.6180854140829384,-0.15612891228097872,0.04979504944319476,0.6753690086593453,-0.1695721664067605,-0.015588723674625635,0.6568853968489523,-0.08264339201706751,0.04776740886911367,0.7845523313052396,-0.5883639319134372,-0.0610955835789054,0.7878041556153662,-0.5146038194197109,1,67.07734,75.85712,6.334966,33.741722,33.62526,149.02754,155.01839
2,jumping_jacks_down,2,-0.03350233589285261,-0.7181271993233789,-1.5995624904649821,-0.01884110236949189,-0.7644867586192079,-1.5382152609998092,-0.009144709874008344,-0.7658900802171057,-1.5382433064849317,-0.00022974982438587392,-0.7667746185258891,-1.5385712408296435,-0.047457740197027594,-0.7632410037717501,-1.5375545047154686,-0.057430782201979766,-0.7634861399311308,-1.5378752240391114,-0.06599480157867678,-0.7637653728836273,-1.5381253059790636,0.01803490522495955,-0.7585333188956117,-1.157354431009703,-0.07692464265584345,-0.7486891208749668,-1.1626760909045417,-0.015198966716198388,-0.6753647236928335,-1.4562354685265677,-0.05011801156217068,-0.6703481893664239,-1.4578545308915558,0.11612614812898105,-0.46446477025447624,-0.9169029149862782,-0.15385282998171526,-0.4657412005786077,-0.8532083598762595,0.1924633286411261,-0.06338568238548592,-1.001912899937143,-0.23210725106021607,-0.11929058654700844,-0.9187530325824318,0.21586455125020157,0.2566031552852716,-1.2736747679396137,-0.2822206228983542,0.24093509699200136,-1.2215046961601368,0.2367075252194741,0.36169858354169915,-1.379208462177453,-0.3158754261509492,0.3265172680250207,-1.315531199843738,0.2116534576548252,0.35586094490625847,-1.438843427497411,-0.3067353909123657,0.3356464109092164,-1.3939506819848857,0.2007545515623479,0.3358683775412613,-1.303438009933138,-0.28760513493640755,0.29939970443467134,-1.2594338757251609,0.07391505604565043,-2.7897472456503296e-05,-0.017843767679714094,-0.07391505604565043,2.7695316875857813e-05,0.017843767679714094,0.05209225428610981,0.19837871494714937,-1.3054911489124652,-0.08863198371309754,0.2014502657874803,-1.2144140760190387,0.047279644384220686,0.5793243679833381,-0.3091339897553234,-0.04491219814029743,0.5588336383249267,-0.2553957215093941,0.03971487866016318,0.6208980408843467,-0.23163010542494777,-0.024668036008349884,0.5965855843885329,-0.18100506058458754,0.023214838831743943,0.7299393176148231,-0.6716714125933262,-0.05181551167959513,0.7272561676506132,-0.6261303159778466,2,74.106384,75.37814,6.4245553,29.761814,29.707142,150.3709,150.9087
3,jumping_jacks_down,3,-0.05023339966998059,-0.7148139096714438,-1.5995645542478527,-0.036919662300177486,-0.7627053553894673,-1.5391920018292709,-0.02805850160988043,-0.7649229268936106,-1.5392804489387586,-0.020765291493142424,-0.7662276816027279,-1.5395970588059207,-0.062158133794809826,-0.756526939981704,-1.5365763591308874,-0.06917858936551445,-0.7546232313929957,-1.5369281347162795,-0.0758594992061669,-0.7520571285481724,-1.5370839531849352,-0.004698753875564681,-0.754632395792292,-1.1801822243414273,-0.07907261100937191,-0.7354963722817989,-1.168467067240971,-0.03009900957862721,-0.6816948362423854,-1.4678884759864539,-0.06139485300039478,-0.6739063874342166,-1.4641693164735783,0.0988836138405952,-0.4866780294988422,-0.93082443707276,-0.14163798158174945,-0.4595813990848723,-0.830642326126443,0.1936168204277847,-0.22621399670931985,-0.9509757434138222,-0.22869250494691562,-0.15514962143108535,-0.8102292779109048,0.24630710793081959,0.06599996719888598,-1.1722826068704768,-0.33653491703527205,0.13569457263035972,-1.0434169443932815,0.2670695873505345,0.15323142030395503,-1.2473540742999434,-0.3726681306080847,0.20515816178964952,-1.1120259710786538,0.2576102814737627,0.16134881658143926,-1.3211612335164113,-0.37684941738780153,0.20528629761546957,-1.2043027101637644,0.24745694403477794,0.13293633708866134,-1.2068932514067112,-0.3623072799106152,0.18671339920902388,-1.0877050288220964,0.06390582736573018,-0.0010639887001129124,-0.03342343686444769,-0.06390582736573018,0.0010639887001129124,0.03342343686444769,0.03604604166462243,0.3223146820434461,-0.8109664555597275,-0.0639529257475401,0.3237899372045878,-0.6971286910836596,0.032255116853846584,0.6764369219902981,-0.12110025491066843,-0.03374076425434539,0.6780908355764813,-0.024499426629054032,0.031958678137383706,0.7103578921980934,-0.081173950934533,-0.01758847852575489,0.7072148821293506,0.0169719346828634,0.0230898058537253,0.8073581923825228,-0.5090042111891865,-0.05414973111531318,0.8068501720773449,-0.4039563370304387,3,60.99823,68.259796,7.821799,51.646942,49.7939,139.17223,146.2462
4,jumping_jacks_down,4,-0.019744826115488782,-1.3770038603352552,-1.008008488913501,-0.0013523901599423974,-1.4339368698713792,-0.9299194261363488,0.01120005161731324,-1.4332666112556673,-0.9303084187942879,0.02375846216458274,-1.4319678856109979,-0.9305846599571722,-0.03922633582099376,-1.4330772867887536,-0.9250702784683756,-0.05171663515099621,-1.4312536048898254,-0.9250992997227548,-0.06324074485979875,-1.4282011277843565,-0.9252260225987187,0.04218425364002314,-1.3937906950981307,-0.475373269573076,-0.07376600868286623,-1.3855156912976951,-0.46043754473586024,0.008398020093555529,-1.3088942853182377,-0.8412460618728703,-0.041229290145939554,-1.3105387168512233,-0.8370661188392421,0.16213795878662962,-0.9967526297181508,-0.23337284837492142,-0.167575085892358,-0.9641349948256862,-0.16018626962514193,0.2707722741726613,-0.606987280881153,-0.07602813212367336,-0.25494274862519023,-0.5316775179459073,-0.2646207486920266,0.3913937132819381,-0.3209746567450712,-0.48479534825733256,-0.36792790889791965,-0.29692652765588645,-0.9793884092558162,0.44691966994895893,-0.23213013080986059,-0.5961661522328227,-0.42142579707003097,-0.21293264457151817,-1.1400261995962635,0.44410428962863446,-0.24488021693782774,-0.7303310190493475,-0.4249041561812777,-0.2157164299620327,-1.2614689965802228,0.4194400471525589,-0.2680688609891652,-0.5488817048188479,-0.3991584062668751,-0.237607426861262,-1.0555999880619436,0.09149382575443869,-0.005084102174711718,-0.021188596754068534,-0.09149348259771461,0.0050844536652419545,0.021188596754068534,0.07047104723168449,0.6278709902392349,0.12715011588975042,-0.09158862770170467,0.6656519572917624,0.14928786943590722,0.05921376638704866,1.2169830167623144,1.0830973814744123,-0.06506709847893571,1.2371318314845845,1.0598980260310444,0.04684529259633349,1.2605139669059138,1.1550681559507767,-0.06019259398017256,1.2957041987364166,1.125965426360673,0.06617443581410808,1.4033666795731372,0.6748278945600753,-0.05609014308820001,1.416820702698165,0.644358004070043,4,28.63188,20.92373,13.974962,133.0697,134.82716,122.640205,105.69104
5,jumping_jacks_down,5,-0.03421327660285801,-1.3148908478076204,-1.1737536525347485,-0.017382483018937998,-1.3783437115375037,-1.0951879151744663,-0.005791752693381711,-1.3789158839493652,-1.0956720882178135,0.006937164618299835,-1.3794564716721263,-1.0961711121842772,-0.05133173798071738,-1.3775415027983196,-1.0973040422731166,-0.06424553116283643,-1.3764632692947776,-1.0974093167249392,-0.07771792145974318,-1.3748818460349277,-1.0976862358396593,0.029684498189480157,-1.3504142088311566,-0.6142300849141591,-0.09087636653694268,-1.3390760585812844,-0.6352412933241339,-0.011630135873217004,-1.256167661825065,-0.9925844407081078,-0.05172547337403711,-1.2484441462409213,-0.9987285100174126,0.1450548852658732,-0.9573485662548853,-0.32934157886687776,-0.1697585838941424,-0.9253322354272066,-0.3451231794449314,0.21575385800310753,-0.49236992916379557,-0.14430011945984017,-0.2072877256565323,-0.4475546915186583,-0.3948084254698558,0.27145642270905807,-0.17399920497443538,-0.5364825369218976,-0.2631004837412964,-0.15878538743080858,-1.0418938595289349,0.3036291236368729,-0.027754897273040414,-0.6547679272042498,-0.27816668640412046,-0.058934539801526284,-1.1942583997489336,0.2971280437843766,-0.017311551621016552,-0.7808721755264431,-0.2771539287612915,-0.058087961870172525,-1.3083813893043645,0.275155691161675,-0.06303181770077187,-0.5956059211559152,-0.26085333431461194,-0.10568890319445869,-1.1071156070616515,0.09307162952130926,-0.00480462313088684,-0.0025469589682094876,-0.09307130473091464,0.00480462313088684,0.0025469589682094876,0.053236704251791014,0.6410294817959677,-0.08114645358290566,-0.07974307665170256,0.7114812019614111,-0.03694679729193739,0.004542570708092135,0.9710411409038109,1.3424132092794323,-0.0645670265824419,0.9346799618753617,1.3996434891524405,-0.0018997158460602654,1.0051056517381634,1.484649137507565,-0.060995494897055344,0.978552413025729,1.5450563852217787,0.0012094475049799257,1.1410665589355649,1.2897923170300614,-0.0638869366780828,1.1079628863519733,1.3210626655136832,5,27.859581,11.336541,11.877183,95.642525,96.21536,120.18892,108.00745
6,jumping_jacks_down,6,-0.031471518681275845,-1.2638347875770775,-1.1870110589106901,-0.013791009273042925,-1.3148039619002958,-1.1267587963996575,-0.00183005979602395,-1.3144173409634372,-1.1269449266059426,0.009888231775590004,-1.3132273544484225,-1.1269951327800063,-0.04586236928029717,-1.3149979291678981,-1.1268333820684442,-0.057801410831277586,-1.3138805690563407,-1.1269231075147752,-0.0700491635785841,-1.3120079121603319,-1.127129720949503,0.02898784262794118,-1.2807522199137076,-0.720635154337841,-0.08422557036087391,-1.2766004030946145,-0.7335588914732055,-0.010982350102178406,-1.2010746209157628,-1.0322097724139785,-0.04957825179005528,-1.199590388371291,-1.0357000922762611,0.1377527548187337,-0.9121807922574685,-0.47223493168951736,-0.16746109278071422,-0.8687221053441231,-0.4374372439575495,0.21128641612455942,-0.47603298979477515,-0.328669675626373,-0.20405035944706315,-0.43156781937600863,-0.2675740161842061,0.25917504647624584,-0.130495250865195,-0.7156703759933544,-0.2350002059229056,-0.11179862749451602,-0.5782229704497567,0.29747750365230013,0.01038782127961169,-0.8336895729451823,-0.2520933264721907,0.01640248753587751,-0.6879908995822002,0.279878336038583,0.01791553330345481,-0.9473417455929947,-0.24710688488718777,0.01798657003026976,-0.8080601114710974,0.2564520238985565,-0.033371618650522246,-0.7704779737404902,-0.23223899993567335,-0.027904678375693957,-0.6374430340979209,0.08928221375848895,-0.00226193152416979,-0.0006953835416353906,-0.08928221375848895,0.0022615993396389563,0.0006953835416353906,0.05691609007497166,0.5312497845588144,0.29237381784884064,-0.0700106506562358,0.5396345941218947,0.23301774111094023,0.014208605526826824,1.0668492049418465,1.1547246372501945,-0.04133651312477259,1.0999612342948617,1.1088854652261086,0.0013059052236827089,1.138322847925234,1.2262377772414705,-0.038717732368354345,1.1741060906466056,1.1793256625414181,0.029666024510180924,1.2191365313772584,0.8621070912472624,-0.043009224767486746,1.2369700983703737,0.7621476451121922,6,10.567529,14.932958,13.324726,146.00357,150.65228,114.791756,114.03148
7,jumping_jacks_down,7,-0.023290031023900894,-1.2709572416169514,-1.2503204195302176,-0.0058224260068454586,-1.330131680006795,-1.1811025230342793,0.006741240472807983,-1.3301803482129928,-1.1814029202480176,0.01838347830856599,-1.3297563292699632,-1.1816557482150531,-0.04000258313624824,-1.3299675537704103,-1.1927706245453311,-0.052678686180310394,-1.3292750747222257,-1.1929253087011584,-0.06504035448516914,-1.327986780205908,-1.193234744296048,0.034269062503976176,-1.3027400024604998,-0.7235143820053167,-0.07979204662761454,-1.2987681161411462,-0.7850076249291612,-0.0033742156281715285,-1.2082144593197892,-1.0734865780910698,-0.04038697673978001,-1.2056701886673984,-1.0910543875805248,0.14330398170408049,-0.9054186431314544,-0.3972121810674001,-0.1658255484804428,-0.8886595108359493,-0.4864033299649239,0.2121503401798014,-0.47185936359473807,-0.1812641284342964,-0.20494658219436443,-0.45831578678098045,-0.31576878631910527,0.2678515283002422,-0.16379017232847087,-0.6228594707795373,-0.25832085815106215,-0.14075772395350122,-0.677463314202816,0.2993746207145936,-0.02307953318238508,-0.7462371189241361,-0.2768004227495289,-0.024680185628738485,-0.8040511351704122,0.29001650963383985,-0.0247985076819354,-0.8774405921975833,-0.2670206476389487,-0.021385069292285126,-0.9267548744395137,0.2686258686169162,-0.07778739648600703,-0.6864338738535712,-0.253168151068432,-0.06410127565467763,-0.7382586954197258,0.09124796597351653,0.00048179736644482274,0.021848792744751527,-0.09124829566136497,-0.00048179736644482274,-0.021848792744751527,0.05014647716906857,0.5710461770742058,0.1481545579082999,-0.08402590919110414,0.5922835468832238,0.09330634850609568,0.0015333183907089815,1.0355691113591923,1.3185070210374046,-0.059951079793132994,1.0349019532348773,1.236838833003064,-0.011243789885952595,1.0961804056468527,1.423451687009469,-0.05849196211583578,1.1070081395605642,1.3353542719421958,0.016473612750551547,1.2089031256513594,1.0682893743627733,-0.05644906369826073,1.1960789411795363,0.9054798260192457,7,10.874948,11.197143,13.995538,122.159706,124.193634,110.021736,99.133995
8,jumping_jacks_down,8,-0.021952135518005848,-1.4638602861857015,-1.014022683241058,0.0015721164839481746,-1.510365831443848,-0.9322201735950371,0.016427462492321326,-1.5096071573559338,-0.9324478827605938,0.028860090631282052,-1.5083858643652963,-0.9325940329764332,-0.045307847803981734,-1.5062460826198307,-0.9367499272440751,-0.06018855622176214,-1.5013790665540134,-0.936761096447562,-0.07499697850514574,-1.4960353393776695,-0.9368687485577657,0.0541555822510932,-1.4601205992156552,-0.5133128279958759,-0.0923201255657718,-1.4340922676379522,-0.532884528208946,0.01260060678069562,-1.3883543318305098,-0.8650864640595347,-0.047237477421201546,-1.3824170684280186,-0.8707626295073223,0.1889496292665059,-0.9645782829028767,-0.2913335826493394,-0.18933998817552103,-0.9365622846254948,-0.3296843855025068,0.21100689313001264,-0.4462576118201975,-0.1412060681060334,-0.21438955769881304,-0.4166537092709175,-0.2334709774073332,0.2547087900809728,-0.04153735759657406,-0.48389606901565846,-0.24848374145672303,0.044615357187793005,-0.5428084367998582,0.25970109133994546,0.08819579499189864,-0.5795602731168228,-0.24916888891572567,0.1960055240446057,-0.6418162251397502,0.25095070957156695,0.0876769165735695,-0.6933121942801129,-0.23276330142725477,0.2001195932098285,-0.7610690503131341,0.2400003036516818,0.0458926672985566,-0.538420627092155,-0.22473868024289836,0.14681618553839282,-0.6001472539268535,0.11063340112767639,-0.004879253948199571,0.025724560136400402,-0.11063353896040028,0.0048795362676409,-0.025724560136400402,0.11720356863396672,0.6690762109266442,-0.28498624312903925,-0.08694722538049052,0.7315437599449918,-0.11232654781353667,0.06800305854784065,1.2634751986325627,0.578981494497836,-0.04826070241119547,1.2637756502063608,0.7170239617618415,0.041449422695164204,1.307710543871337,0.6399598559916994,-0.03991324371754174,1.3032694309223123,0.7721023935099753,0.09362069851332973,1.4555798664772321,0.16158108119814527,-0.06043446405972362,1.525059441444665,0.2884523321421818,8,10.369743,7.097713,21.346338,115.9387,99.7412,135.73085,123.66159
9,jumping_jacks_down,9,-0.030057618392939734,-1.4298083599951648,-1.0333969902153035,-0.004305110715683935,-1.4725842799833198,-0.9592527142972722,0.01048736132064963,-1.4719464040168801,-0.9594816960162976,0.024030988363137724,-1.4697826102390896,-0.959670942741468,-0.049015484912541006,-1.4663747349643503,-0.9630625008057132,-0.06344733343032631,-1.4612513424756297,-0.9631396431221851,-0.07679148939295301,-1.4560335970103768,-0.9633887039446141,0.04846230326258887,-1.4244879148534868,-0.557886625902013,-0.09260234675042997,-1.4027857662659875,-0.5720005427429317,0.0025726642782557636,-1.3565804341661871,-0.8877318884468912,-0.05367002093205532,-1.3521849914672543,-0.8921251445455705,0.17743359378877321,-0.9490482271032306,-0.3163622386566864,-0.18497519922392572,-0.9318831094590393,-0.3633733211940058,0.19901198785547067,-0.44606127912209764,-0.14448597405490907,-0.2203619997548253,-0.4136140593294846,-0.23964877797622228,0.24343284254189548,-0.043294014933178415,-0.4456208319979062,-0.2656527921765347,0.05583419560150271,-0.51406243094284,0.24758853510335002,0.08773672386622344,-0.5316422267447938,-0.282101786481772,0.19849627936126168,-0.6021624831286135,0.23984926335645937,0.09016192217755144,-0.6379009595157764,-0.25648263743791566,0.2061357198750708,-0.7300904949478001,0.23008480007365686,0.04183158611822217,-0.4965609295370617,-0.24557667477543563,0.16057335640423617,-0.5725960739023106,0.10873164364031633,-0.0023521658628593138,0.017747964170916657,-0.10873164364031633,0.0023521658628593138,-0.017747964170916657,0.10909240211677271,0.6956736420751799,-0.1259127822459353,-0.06835307690241094,0.7096734795136228,-0.04787873257147848,0.04992265598289578,1.2658146576411948,0.7642312719045362,-0.042492252102143316,1.2437197439221297,0.8212090664921964,0.02745050904761453,1.3075392226085123,0.8270272335776104,-0.03836531215843148,1.2802633829510446,0.8838057183765677,0.08515022499167528,1.4949371184849813,0.37779152814762856,-0.054750518867024825,1.4739403013061523,0.4364389448557761,9,10.679252,6.2657557,15.623316,119.16371,110.973946,136.38322,124.41369
